Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,Fuel_Type,Transmission,Engine,VIN,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type,Model_Family,Vehicle_Age,Is_Hybrid,Region,MPG_City,MPG_Highway,MPG_Combined,Engine_Displacement_L,Engine_Cylinders,Price_Per_Mile,Has_Ratings
2022,Honda,Ridgeline RTL-E,New,43190.0,4.7,790,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F73NB023890,10.0,5.0,4.9,4.9,4.3,4.7,5.0,WA,Dealer,Ridgeline,1,False,West,18.0,24.0,21.0,3.5,6.0,,True
2022,Honda,Ridgeline RTL-E,New,42795.0,4.7,790,Obsidian Blue Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F71NB015061,9268.0,5.0,4.9,4.9,4.3,4.7,5.0,WA,Dealer,Ridgeline,1,False,West,18.0,24.0,21.0,3.5,6.0,,True
2022,Honda,Passport Elite,New,41950.0,4.7,790,Obsidian Blue Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H05NB011492,9352.0,5.0,5.0,4.9,5.0,4.9,5.0,WA,Dealer,Passport,1,False,West,19.0,24.0,21.5,3.5,6.0,,True
2023,Honda,Ridgeline RTL-E,New,48820.0,4.8,6,Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F74PB012903,5.0,5.0,4.8,4.8,4.2,5.0,5.0,NE,Dealer,Ridgeline,0,False,Midwest,,,,3.5,6.0,,True
2022,Honda,Accord Sport 1.5T,New,30469.0,5.0,5,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,continuously variable,4 Cylinder Engine,1HGCV1F32NA089319,4.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,Accord,1,False,South,29.0,35.0,32.0,,4.0,,True
2023,Honda,HR-V Sport,New,29039.0,4.6,5,Platinum White Pearl,Black,All-wheel Drive,Gasoline,continuously variable (m cvt),4 Cylinder Engine,3CZRZ2H52PM722919,16.0,4.0,5.0,4.0,5.0,5.0,5.0,OK,Dealer,HR-V,0,False,South,25.0,30.0,27.5,,4.0,,True
2023,Honda,CR-V EX-L,New,36504.0,4.7,5,Crystal Black Pearl,Gray,All-wheel Drive,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H79PH400825,2.0,5.0,5.0,5.0,4.0,4.0,5.0,OK,Dealer,CR-V,0,False,South,27.0,32.0,29.5,,4.0,,True
2023,Honda,CR-V Hybrid Sport Touring,New,40239.0,4.4,5,Platinum White Pearl,Black,All-wheel Drive,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS6H94PH800174,7.0,5.0,3.0,4.0,4.0,5.0,5.0,OK,Dealer,CR-V,0,True,South,40.0,34.0,37.0,,4.0,,True
2023,Honda,CR-V Hybrid Sport,New,34089.0,4.4,5,Platinum White Pearl,Black,Front-wheel Drive,Hybrid,electronic continuously variable,4 Cylinder Engine,2HKRS5H54PH700891,2.0,5.0,3.0,4.0,4.0,5.0,5.0,OK,Dealer,CR-V,0,True,South,43.0,36.0,39.5,,4.0,,True
2022,Honda,Civic Sport,New,25845.0,4.6,5,Rallye Red,Black,Front-wheel Drive,Gasoline,continuously variable,4 Cylinder Engine,19XFL2H87NE021708,18.0,4.6,4.9,4.4,4.6,4.6,4.7,OK,Dealer,Civic,1,False,South,29.0,37.0,33.0,,4.0,,True
2022,Honda,Pilot TrailSport,New,46420.0,4.4,877,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H89NB083368,5.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,Pilot,1,False,South,19.0,25.0,22.0,3.5,6.0,,True
2022,Honda,Passport Elite,New,47620.0,4.9,273,Platinum White Pearl,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H08NB029825,10.0,5.0,5.0,4.9,5.0,4.9,5.0,TX,Dealer,Passport,1,False,South,19.0,24.0,21.5,3.5,6.0,,True
2022,Honda,Pilot Sport,New,39595.0,4.5,1691,Crystal Black Pearl,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB102612,5.0,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer,Pilot,1,False,South,19.0,26.0,22.5,3.5,6.0,,True
2023,Honda,Ridgeline RTL,New,43482.0,5.0,2291,Radiant Red Metallic II,Black,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F56PB012724,5.0,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer,Ridgeline,0,False,South,,,,3.5,6.0,,True
2023,Honda,CR-V EX-L,New,35400.0,4.9,2843,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V DOHC,2HKRS3H72PH300656,10.0,5.0,5.0,5.0,4.0,4.0,5.0,TX,Dealer,CR-V,0,False,South,,,,1.5,4.0,,True
2022,Honda,Pilot TrailSport,New,46500.0,4.6,880,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB084560,8.0,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer,Pilot,1,False,South,19.0,25.0,22.0,3.5,6.0,,True
2022,Honda,Accord Sport 1.5T,New,30470.0,4.8,723,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F32NA061052,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer,Accord,1,False,Midwest,29.0,35.0,32.0,1.5,4.0,,True
2022,Honda,Accord Sport 2.0T,New,35150.0,4.8,723,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA025528,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer,Accord,1,False,Midwest,22.0,32.0,27.0,2.0,4.0,,True
2022,Honda,Accord Sport 1.5T,New,30075.0,4.8,723,Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA061033,5.0,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer,Accord,1,False,Midwest,29.0,35.0,32.0,1.5,4.0,,True
2023,Honda,Accord EX,New,30705.0,4.8,723,Obsidian Blue Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V DOHC,1HGCY1F35PA003379,,,,,,,,MO,Dealer,Accord,0,False,Midwest,,,,1.5,4.0,,False
2022,Honda,Passport Elite,New,47050.0,5.0,2599,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB003457,,5.0,5.0,4.9,5.0,4.9,5.0,TX,Dealer,Passport,1,False,South,19.0,24.0,21.5,3.5,6.0,,True
2022,Honda,Accord Sport 1.5T,New,30470.0,4.9,559,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA116455,10.0,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer,Accord,1,False,South,29.0,35.0,32.0,1.5,4.0,,True
2022,Honda,Pilot TrailSport,New,46719.0,4.5,820,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H84NB098618,6.0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer,Pilot,1,False,Midwest,19.0,25.0,22.0,3.5,6.0,,True
2022,Honda,Passport TrailSport,New,41500.0,4.5,3710,–,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H69NB023701,13.0,5.0,5.0,4.9,5.0,4.9,5.0,MO,Dealer,Passport,1,False,Midwest,19.0,24.0,21.5,3.5,6.0,,True
2022,Honda,Pilot EX-L,New,43605.0,5.0,2231,Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H59NB104872,0.0,5.0,5.0,5.0,5.0,5.0,5.0,MN,Dealer,Pilot,1,False,Midwest,19.0,26.0,22.5,3.5,6.0,,True
2023,Honda,CR-V EX,New,34860.0,4.7,13,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H41PL003427,5.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,CR-V,0,False,Midwest,,,,1.5,4.0,,True
2023,Honda,Odyssey Sport,New,43160.0,4.4,13,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB035452,6.0,5.0,5.0,4.0,4.0,4.0,5.0,IA,Dealer,Odyssey,0,False,Midwest,,,,3.5,6.0,,True
2022,Honda,Passport EX-L,New,43230.0,4.9,13,Radiant Red Metallic II,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB031485,1.0,5.0,5.0,4.9,5.0,4.9,5.0,IA,Dealer,Passport,1,False,Midwest,19.0,24.0,21.5,3.5,6.0,,True
2023,Honda,CR-V EX-L,New,36505.0,4.7,13,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H78PH401352,6.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,CR-V,0,False,Midwest,,,,1.5,4.0,,True
2023,Honda,CR-V EX,New,34250.0,4.7,13,Platinum White Pearl,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H49PH411250,6.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,CR-V,0,False,Midwest,,,,1.5,4.0,,True
2022,Honda,Pilot TrailSport,New,46500.0,5.0,13,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H85NB077633,16.0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer,Pilot,1,False,Midwest,19.0,25.0,22.0,3.5,6.0,,True
2023,Honda,CR-V EX-L,New,35005.0,4.7,13,Meteorite Gray Metallic,Gray,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS3H71PL000919,1.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,CR-V,0,False,Midwest,,,,1.5,4.0,,True
2023,Honda,CR-V EX-L,New,37055.0,4.7,13,Crystal Black Pearl,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H73PH411903,1.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,CR-V,0,False,Midwest,,,,1.5,4.0,,True
2022,Honda,Passport TrailSport,New,47848.0,4.9,13,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB020920,32.0,5.0,5.0,4.9,5.0,4.9,5.0,IA,Dealer,Passport,1,False,Midwest,19.0,24.0,21.5,3.5,6.0,,True
2022,Honda,Pilot Special Edition,New,44205.0,5.0,13,Modern Steel Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H24NB086304,1.0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer,Pilot,1,False,Midwest,19.0,26.0,22.5,3.5,6.0,,True
2022,Honda,CR-V Touring,New,36845.0,4.8,3,Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H90NH666757,10.0,4.9,4.8,4.7,4.8,4.7,4.9,LA,Dealer,CR-V,1,False,South,27.0,32.0,29.5,1.5,4.0,,True
2023,Honda,Passport TrailSport,New,44290.0,4.8,3,Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNYF8H60PB003596,12.0,,,,,,,LA,Dealer,Passport,0,False,South,,,,3.5,6.0,,False
2022,Honda,Pilot Special Edition,New,44100.0,5.0,3,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB100232,5.0,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer,Pilot,1,False,South,19.0,26.0,22.5,3.5,6.0,,True
2023,Honda,CR-V EX-L,New,38500.0,4.7,3,Crystal Black Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H75PH407917,12.0,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer,CR-V,0,False,South,,,,1.5,4.0,,True
2023,Honda,CR-V EX-L,New,37000.0,4.7,3,Silver,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H7XPH300162,12.0,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer,CR-V,0,False,South,,,,1.5,4.0,,True
2023,Honda,CR-V EX-L,New,35400.0,4.7,7,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,2HKRS3H72PH300186,5.0,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer,CR-V,0,False,South,,,,1.5,4.0,,True
2023,Honda,CR-V EX-L,New,35900.0,4.7,7,Urban Gray Pearl,Black,All-wheel Drive,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH409106,3.0,5.0,5.0,5.0,4.0,4.0,5.0,LA,Dealer,CR-V,0,False,South,,,,1.5,4.0,,True
2023,Honda,CR-V EX-L,New,36505.0,3.7,270,Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H77PH401343,2.0,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer,CR-V,0,False,Midwest,,,,1.5,4.0,,True
2022,Honda,Pilot Touring 8-Passenger,New,48860.0,5.0,14,White,Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H62NB099796,2.0,5.0,5.0,5.0,5.0,5.0,5.0,WI,Dealer,Pilot,1,False,Midwest,19.0,26.0,22.5,,6.0,,True
2022,Honda,Accord Hybrid Sport,New,34555.0,4.7,328,White,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F21NA044794,12.0,4.9,5.0,5.0,4.9,4.9,5.0,LA,Dealer,Accord,1,True,South,44.0,41.0,42.5,2.0,4.0,,True
2022,Honda,Pilot Sport,New,39780.0,5.0,1516,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104164,5.0,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer,Pilot,1,False,South,19.0,26.0,22.5,3.5,6.0,,True
2023,Honda,Passport TrailSport,New,41441.0,4.2,415,Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66PB001092,4.0,,,,,,,LA,Dealer,Passport,0,False,South,,,,3.5,6.0,,False
2022,Honda,Pilot Sport,New,41770.0,5.0,1,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H39NB099350,5.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,Pilot,1,False,Midwest,19.0,26.0,22.5,3.5,6.0,,True
2023,Honda,Odyssey Sport,New,43050.0,4.4,1,Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H77PB023354,5.0,5.0,5.0,4.0,4.0,4.0,5.0,IL,Dealer,Odyssey,0,False,Midwest,,,,3.5,6.0,,True
2023,Honda,Ridgeline Black Edition,New,44042.0,5.0,4272,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F82PB009605,5.0,5.0,4.8,4.8,4.2,5.0,5.0,IL,Dealer,Ridgeline,0,False,Midwest,,,,3.5,6.0,,True
2022,Honda,Pilot Sport,New,41770.0,4.7,436,Platinum White Pearl,Nh-883p/Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H39NB100609,7.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,Pilot,1,False,Midwest,19.0,26.0,22.5,,6.0,,True
2023,Honda,Odyssey Sport,New,42655.0,4.6,1874,Crystal Black Pearl,–,Front-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB029697,8.0,5.0,5.0,4.0,4.0,4.0,5.0,IL,Dealer,Odyssey,0,False,Midwest,,,,3.5,6.0,,True
2022,Honda,Pilot TrailSport,New,46105.0,4.6,1874,Crystal Black Pearl,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB067454,3042.0,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer,Pilot,1,False,Midwest,19.0,25.0,22.0,3.5,6.0,,True
2022,Honda,CR-V EX,New,32055.0,3.9,161,CRYSTAL BLACK,Black,All-wheel Drive,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARW2H59NE056453,10.0,4.9,4.8,4.7,4.8,4.7,4.9,WI,Dealer,CR-V,1,False,Midwest,27.0,32.0,29.5,1.5,4.0,,True
2023,Honda,Passport TrailSport,New,45580.0,4.8,1978,Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H61PB003154,2.0,,,,,,,IL,Dealer,Passport,0,False,Midwest,,,,3.5,6.0,,False
2023,Honda,CR-V Hybrid Sport,New,34090.0,4.4,3,Platinum,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH701273,12.0,5.0,3.0,4.0,4.0,5.0,5.0,KY,Dealer,CR-V,0,True,South,,,,2.0,4.0,,True
2022,Honda,Accord Sport 1.5T,New,30470.0,5.0,3,Gray,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA114815,,5.0,5.0,5.0,5.0,5.0,5.0,KY,Dealer,Accord,1,False,South,29.0,35.0,32.0,1.5,4.0,,True
2023,Honda,Ridgeline RTL-E,New,46705.0,4.8,3,Gray,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F71PB017167,,5.0,4.8,4.8,4.2,5.0,5.0,KY,Dealer,Ridgeline,0,False,South,,,,3.5,6.0,,True
2023,Honda,Ridgeline Black Edition,New,47920.0,4.8,3,Platinum,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F86PB001314,,5.0,4.8,4.8,4.2,5.0,5.0,KY,Dealer,Ridgeline,0,False,South,,,,3.5,6.0,,True
2022,Honda,Accord Sport 1.5T,New,30470.0,5.0,3,Platinum,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F36NA109930,,5.0,5.0,5.0,5.0,5.0,5.0,KY,Dealer,Accord,1,False,South,29.0,35.0,32.0,1.5,4.0,,True
2022,Honda,Pilot Sport,New,40770.0,4.6,245,Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H37NB103959,2.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,Pilot,1,False,Midwest,19.0,26.0,22.5,3.5,6.0,,True
2022,Honda,Passport Elite,New,50125.0,5.0,5663,Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB016984,1.0,5.0,5.0,4.9,5.0,4.9,5.0,KY,Dealer,Passport,1,False,South,19.0,24.0,21.5,3.5,6.0,,True
2022,Honda,Pilot Sport,New,40270.0,4.9,826,Platinum White,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H31NB104296,4.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,Pilot,1,False,Midwest,19.0,26.0,22.5,3.5,6.0,,True
2022,Honda,Pilot Sport,New,40270.0,4.9,826,Platinum White,–,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104665,4.0,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer,Pilot,1,False,Midwest,19.0,26.0,22.5,3.5,6.0,,True
